,MSOA11CD,cluster_1_degree,restaurant,edu_rate,population,income,workplace,employee,PTAI,rail_sta,under_sta,supermarket,bus_stop,area,rest_degree,pop_degree,income_degree,workplace_degree,employee_degree,rail_degree,under_degree,market_degree,bus_degree
77,E02000080,0.0,6.0,0.194,10346,50600,540.0,3500.0,6.183199729,1.0,1.0,6.0,27.0,169.16,0.035469378103570585,61.16103097659021,299.12508867344525,3.1922440293213525,20.690470560416173,0.005911563017261764,0.005911563017261764,0.035469378103570585,0.15961220146606764
78,E02000081,0.0,1.0,0.197,8152,51400,250.0,4000.0,6.039795568,0.0,0.0,0.0,29.0,220.56,0.004533913674283642,36.96046427276025,233.0431628581792,1.1334784185709104,18.135654697134566,0.0,0.0,0.0,0.13148349655422562
79,E02000082,0.0,1.0,0.203,9225,58700,300.0,1000.0,4.756242524,1.0,1.0,2.0,22.0,149.76,0.006677350427350428,61.59855769230769,391.9604700854701,2.003205128205128,6.677350427350428,0.006677350427350428,0.006677350427350428,0.013354700854700856,0.1469017094017094
80,E02000083,0.0,7.0,0.191,11748,49600,655.0,7000.0,10.72067645,1.0,1.0,3.0,34.0,374.33,0.018700077471749527,31.384072876873347,132.5034060855395,1.7497929634279914,18.700077471749527,0.002671439638821361,0.002671439638821361,0.008014318916464083,0.09082894771992628
81,E02000084,0.0,0.0,0.241,11169,54000,395.0,1750.0,2.237972781,0.0,0.0,0.0,35.0,259.36,0.0,43.06369524984577,208.2048118445404,1.5229796421961752,6.747378161628624,0.0,0.0,0.0,0.13494756323257248
82,E02000085,0.0,6.0,0.171,8116,51000,330.0,1250.0,7.115618404,0.0,0.0,4.0,21.0,162.35,0.036957191253464736,49.990760702186634,314.13612565445027,2.032645518940561,7.6994148444718205,0.0,0.0,0.024638127502309825,0.1293501693871266
83,E02000086,0.0,1.0,0.209,7329,56500,260.0,1000.0,6.458090776,0.0,0.0,0.0,11.0,148.85,0.006718172657037286,49.23748740342627,379.57675512260664,1.7467248908296944,6.718172657037286,0.0,0.0,0.0,0.07389989922741015
84,E02000087,0.0,6.0,0.298,8029,61700,480.0,2000.0,11.64179615,1.0,1.0,0.0,29.0,371.61,0.01614595947364172,21.605984768978228,166.034283253949,1.2916767578913377,5.381986491213907,0.0026909932456069536,0.0026909932456069536,0.0,0.07803880412260165
85,E02000088,0.0,2.0,0.217,7718,59400,315.0,800.0,15.99275672,1.0,1.0,1.0,21.0,199.88,0.010006003602161298,38.61316790074044,297.1783069841905,1.5759455673404044,4.002401440864519,0.005003001801080649,0.005003001801080649,0.005003001801080649,0.10506303782269362
86,E02000089,0.0,2.0,0.233,7809,59300,235.0,700.0,5.830092588,0.0,0.0,1.0,10.0,136.76,0.014624159110851126,57.10002924831822,433.6063176367359,1.7183386955250075,5.118455688797894,0.0,0.0,0.007312079555425563,0.07312079555425563
87,E02000090,0.0,9.0,0.271,9428,48100,625.0,6000.0,11.46300933,1.0,1.0,5.0,30.0,180.96,0.04973474801061008,52.0999115826702,265.8045977011494,3.4538019451812554,33.15649867374005,0.005526083112290008,0.005526083112290008,0.027630415561450045,0.16578249336870027
88,E02000091,0.0,4.0,0.273,10004,50500,410.0,3000.0,8.581046994,0.0,0.0,0.0,39.0,273.35,0.014633254069873787,36.59776842875434,184.74483263215657,1.4999085421620633,10.97494055240534,0.0,0.0,0.0,0.14267422718126943
89,E02000092,0.0,1.0,0.194,6758,43600,310.0,7000.0,0.354135606,0.0,0.0,1.0,30.0,599.18,0.0016689475616676126,11.278747621749726,72.7661136887079,0.5173737441169599,11.682632931673288,0.0,0.0,0.0016689475616676126,0.05006842685002837
90,E02000093,0.0,5.0,0.311,10889,50200,640.0,3000.0,5.383231142,0.0,0.0,1.0,14.0,137.73,0.03630291149350178,79.06048065054819,364.4812313947579,4.646772671168228,21.78174689610107,0.0,0.0,0.007260582298700356,0.101648152181805
91,E02000094,0.0,6.0,0.279,9195,48300,535.0,4000.0,1.497275556,0.0,0.0,4.0,17.0,116.37,0.051559680329981955,79.01521010569734,415.0554266563547,4.5974048294233905,34.37312021998797,0.0,0.0,0.034373120219987965,0.14608576093494888
