,id,category,longitude,latitude,general_category
241,wic6hsbVs4vry2qJDgHd8g,japanese,-0.0833415985107422,51.5177429423905,Japanese_Korean
242,tV6FOIWF0H7H3h8kNiI3ug,japanese,-0.0930401527150614,51.5129423746162,Japanese_Korean
243,c0SW4T-Etm3ohuIuocRLow,japanese,-0.1026265,51.5163607,Japanese_Korean
244,Tp5cjrlYuvpuxQ9q0iIW5A,japanese,-0.090076,51.519629,Japanese_Korean
245,WdOVFVi73UMDJO4HyfaRVg,japanese,-0.090155,51.5199145,Japanese_Korean
246,hpzVb1tRrrQx2vlCyHPQPw,japanese,-0.094046,51.5132207,Japanese_Korean
247,KxP9eF7107E5WWM9SaXLBw,japanese,-0.0926836,51.5128663,Japanese_Korean
248,HmOrOohddgdHLdLueTlNqQ,japanese,-0.093295,51.5233,Japanese_Korean
249,NEMapJ2Hcy9hoz910dxe6w,japanese,-0.0854820013046265,51.5106088031299,Japanese_Korean
250,U8Ly564Fltjp_2S60VrjJw,japanese,-0.08359,51.518924,Japanese_Korean
251,Y_hb3Ya0w8mdCEBiQBGviw,japanese,-0.102868,51.516343,Japanese_Korean
252,Q4W7bTRtXrUCu16MuHV1Vg,japanese,-0.0877349,51.5207941,Japanese_Korean
253,Qp9MU5lNr55ebUkfcoq-Xg,japanese,-0.0933604,51.512123,Japanese_Korean
254,AwR074jhV8dNHHK81JTp_g,japanese,-0.0990338,51.5123336,Japanese_Korean
255,5PlHE70o_2WLb66683qG4A,japanese,-0.0812366,51.5171783,Japanese_Korean
256,2GC_3GC_kSdfAzRndpTvKw,japanese,-0.079344,51.508653,Japanese_Korean
257,geeToepsZJza8SWKyvA6kg,japanese,-0.098281,51.5147382751544,Japanese_Korean
258,fyYn9WjijghqFZ6nzyxK-Q,japanese,-0.1054658,51.5215851,Japanese_Korean
259,d0PMiUhlGfUuiRheGyuiZA,japanese,-0.085446529301052,51.5132995444638,Japanese_Korean
260,YWncqOit1OQ9W6cCuyPUJQ,japanese,-0.104247,51.520078,Japanese_Korean
261,zfwJzIXbCDoHEN6ZpkaisQ,japanese,-0.10265107761471,51.5201120586801,Japanese_Korean
262,ye07rq662aeyIXU4cN7ZNw,japanese,-0.0823555701054897,51.5233245177369,Japanese_Korean
263,8c1E12QG0VsKfvmMSPAqRw,japanese,-0.100837998092175,51.5131721496582,Japanese_Korean
264,NvMDpuVv-g2P4ckXp-gUIg,japanese,-0.081858,51.520344,Japanese_Korean
265,fi-QtndrXFOCxvvG9qSuOw,japanese,-0.0870990196969232,51.5203563950325,Japanese_Korean
266,zVHuB6i1p8Nj7XalvH87Bg,japanese,-0.104925,51.514343,Japanese_Korean
267,yEaHNKhzWXpGmDbjacjsgA,japanese,-0.0839426432455648,51.5117484310141,Japanese_Korean
268,83CMyZG7erUONnZSVFjpDQ,japanese,-0.0936267725680752,51.5122250359348,Japanese_Korean
269,X80uhcGbiZOwVBBUvVM64w,japanese,-0.0927185651644322,51.5070904568146,Japanese_Korean
270,FIgfDbwKMY_1Tef_7ZMpcA,japanese,-0.1013575,51.5132723,Japanese_Korean
271,gzFc7soCeyobWcps75xmOg,japanese,-0.08136368648361,51.5127314399085,Japanese_Korean
272,BZSFR-fxuSSHXK3OV_hJ3A,japanese,-0.0977849742612447,51.5147773629769,Japanese_Korean
273,oP0PujfHsfqpp8cHMHGXyA,japanese,-0.0803801,51.5219073,Japanese_Korean
274,CeYvo5ugJW8WQ4x_asG6cQ,japanese,-0.0858977,51.5149053,Japanese_Korean
275,QJ_yNIKL4hgGp5ijubmTFA,japanese,-0.0808499976992607,51.5244369506836,Japanese_Korean
276,_oa0s86Dk4V2i4hAOVpJWg,japanese,-0.0798583173709355,51.5178477614526,Japanese_Korean
277,3oE8r5zw3Zzcs9-f3ZwMLw,japanese,-0.08781,51.517627,Japanese_Korean
278,S9EzTzEMkPKf_D-PcRc2ug,japanese,-0.0823595,51.5184692,Japanese_Korean
279,AflVvnSgUF8JFR9cJJJagg,japanese,-0.0804341,51.5186116,Japanese_Korean
280,F9HLzy2c9WGUNzQ-0Mppfg,japanese,-0.10387830128654,51.520106425588,Japanese_Korean
281,Xc69Zmdm93aO6jJ8igp2Qw,japanese,-0.0883949995040894,51.5174217224121,Japanese_Korean
282,nMan96mTsTZASpz9R_q8WA,japanese,-0.088005,51.523988,Japanese_Korean
283,919enDQ0EG7V2SQ9dZw98w,japanese,-0.0870744,51.5114971,Japanese_Korean
284,MSlMDS7BL3r-REJ-WfeMig,japanese,-0.1052251,51.5148289,Japanese_Korean
285,XP4ecmlnv9URqwbQ73-iAw,japanese,-0.0811159983277321,51.5150260925293,Japanese_Korean
286,adUJUPG7i_EG6SEpbWJHzw,japanese,-0.0811574438217142,51.5097714945609,Japanese_Korean
287,6F69lXk7yuGNiv8JDdFecg,japanese,-0.0824142195721,51.5171584901248,Japanese_Korean
288,qVFO0D23KCuvhgApmuHFfA,japanese,-0.0819259910234593,51.5179704244577,Japanese_Korean
289,XcXMDRiyrmi5qTDyL7p8ZQ,japanese,-0.0833249,51.5164605,Japanese_Korean
290,OOxvjHM1X-g2AMgAStCnJg,japanese,-0.085216,51.5122173,Japanese_Korean
291,BJ6qWO5urgGQT4_dGX8dMA,japanese,-0.0821302458643913,51.5204119065564,Japanese_Korean
292,_sYeLbRj1GoyrCFiWuqcHA,japanese,-0.101330503821373,51.5132756814972,Japanese_Korean
293,74jwJpswcv2lkhtO3385mw,japanese,-0.0791233,51.5097548,Japanese_Korean
